,Unnamed: 0,tweets,clean_text,Sentiment
42,42,Parents rarely spot child obesity http://bbc.in/1G0J4Ag,parents rarely spot child obesity,NEUTRAL
43,43,VIDEO: Vaccine to protect from meningitis B http://bbc.in/1MjhH8r,video vaccine protect meningitis,NEUTRAL
44,44,Chikungunya revives herbal remedies in Antigua http://bbc.in/1BGLzBf,chikungunya revives herbal remedies antigua,NEUTRAL
45,45,The Bolivian women who knit parts for hearts http://bbc.in/1BGLzBc,the bolivian women knit parts hearts,NEUTRAL
46,46,Meningitis B vaccine deal agreed http://bbc.in/1BGLzB7,meningitis vaccine deal agreed,NEUTRAL
47,47,VIDEO: Life-saving knitters http://bbc.in/1EimW3I,video life saving knitters,NEUTRAL
48,48,Guinea declares Ebola 'emergency' http://bbc.in/1BGsCyB,guinea declares ebola emergency,NEUTRAL
49,49,VIDEO: BMA warning on 'seven-day NHS' plan http://bbc.in/1D0zkUv,video bma warning seven day nhs plan,NEUTRAL
50,50,'Rise in child mental health issues' http://bbc.in/1MebDOt,rise child mental health issues,NEUTRAL
51,51,Tories to pledge 'seven-day NHS' http://bbc.in/1CVTVtd,tories pledge seven day nhs,NEUTRAL
52,52,VIDEO: Military healthcare worker free of Ebola http://bbc.in/1I1miW9,video military healthcare worker free ebola,NEUTRAL
53,53,NHS: Labour's private profits cap http://bbc.in/1yjLmm0,nhs labour private profits cap,NEUTRAL
54,54,British medic declared free of Ebola http://bbc.in/1HXxtiN,british medic declared free ebola,NEUTRAL
55,55,Labour to cap private profits in NHS http://bbc.in/1H4Yalx,labour cap private profits nhs,NEUTRAL
56,56,Sierra Leone in Ebola lockdown http://bbc.in/1yhUzvi,sierra leone ebola lockdown,NEUTRAL
57,57,VIDEO: Sitting down poses health risk http://bbc.in/1HPBSaV,video sitting poses health risk,NEUTRAL
58,58,VIDEO: Diarrhoea killing poorest children http://bbc.in/1BwOLzp,video diarrhoea killing poorest children,NEGATIVE
59,59,Office workers 'too sedentary' http://bbc.in/1H2rWaw,office workers sedentary,NEUTRAL
60,60,NHS medical accidents unit 'needed' http://bbc.in/1H2rWar,nhs medical accidents unit needed,NEUTRAL
61,61,Fitness linked to lower cancer risk http://bbc.in/1M849wo,fitness linked lower cancer risk,NEUTRAL
62,62,Indiana emergency for HIV 'epidemic' http://bbc.in/1BtjNbi,indiana emergency hiv epidemic,NEUTRAL
63,63,First Europe non-beating heart swap http://bbc.in/1GswybC,first europe non beating heart swap,NEUTRAL
64,64,VIDEO: What makes a healthy high street? http://bbc.in/1yb9uar,video what makes healthy high street,NEUTRAL
65,65,VIDEO: NHS England 'deteriorating' http://bbc.in/1GqG2nW,video nhs england deteriorating,NEGATIVE
66,66,VIDEO: 'Sport must act on mental health' http://bbc.in/1GqwCsz,video sport must act mental health,NEUTRAL
67,67,'Unhealthiest High Streets' revealed http://bbc.in/1M1BBEK,unhealthiest high streets revealed,NEGATIVE
68,68,NHS problems worst 'since 1990s' http://bbc.in/1BpQPch,nhs problems worst since,NEGATIVE
69,69,DNA of 'an entire nation' assessed http://bbc.in/1BpQMx6,dna entire nation assessed,MIXED
70,70,Ebola 'more deadly' in young children http://bbc.in/1GW0Gu0,ebola deadly young children,NEGATIVE
71,71,Contaminated blood probe report due http://bbc.in/1Gj7ZOj,contaminated blood probe report due,NEUTRAL
72,72,Antibiotic use linked to diabetes http://bbc.in/1Gh6mAF,antibiotic use linked diabetes,NEUTRAL
73,73,Approach to obesity 'inexplicable' http://bbc.in/1HC2g85,approach obesity inexplicable,NEGATIVE
74,74,Air pollution 'link to stroke risk' http://bbc.in/1HC2g7X,air pollution link stroke risk,NEUTRAL
75,75,Ex-carers 'too little travel time' http://bbc.in/1LTsKF8,ex carers little travel time,NEUTRAL
76,76,Three IVF cycles a 'no-brainer' http://bbc.in/1GQpGD4,three ivf cycles brainer,NEUTRAL
77,77,Has Ebola focus led to other killer diseases being ignored? http://bbc.in/1y0v1CA,has ebola focus led killer diseases ignored,MIXED
78,78,Preventive surgery for cancer genes http://bbc.in/1Gcd0IA,preventive surgery cancer genes,NEUTRAL
79,79,VIDEO: How one US school is battling obesity http://bbc.in/1DS7Gua,video how one us school battling obesity,NEUTRAL
80,80,Angelina Jolie has ovaries removed http://bbc.in/1Gb99vn,angelina jolie ovaries removed,POSITIVE
81,81,VIDEO: Dr Radha's guide to a healthy diet http://bbc.in/1HuFsn2,video dr radha guide healthy diet,NEUTRAL
82,82,Methadone programme 'a black hole' http://bbc.in/1HtW1zE,methadone programme black hole,NEGATIVE
83,83,Hospital mental health absences rise http://bbc.in/1HtVZb1,hospital mental health absences rise,NEUTRAL
84,84,VIDEO: Could cannabis oil cure cancer? http://bbc.in/1DPcgcE,video could cannabis oil cure cancer,NEUTRAL
85,85,'Eat rice cold for fewer calories' http://bbc.in/1GLFMOk,eat rice cold fewer calories,NEUTRAL
86,86,UK medics 'had humanitarian motives' http://bbc.in/1G4Oxoy,uk medics humanitarian motives,NEUTRAL
87,87,VIDEO: Half of children 'not eating healthily' http://bbc.in/1DO1u6w,video half children eating healthily,NEGATIVE
88,88,Ashya King 'free of brain cancer' http://bbc.in/1G3XMW6,ashya king free brain cancer,NEUTRAL
89,89,VIDEO: Charity slams global Ebola response http://bbc.in/1LMYlYT,video charity slams global ebola response,NEUTRAL
90,90,Hospital staff 'act above pay grade' http://bbc.in/1GJlBAo,hospital staff act pay grade,NEUTRAL
91,91,Disease-carrying mosquitoes warning http://bbc.in/1xSknOi,disease carrying mosquitoes warning,NEGATIVE
92,92,How Ebola changed the world http://bbc.in/1G1ZozC,how ebola changed world,NEUTRAL
93,93,Early call for Ebola help 'ignored' http://bbc.in/1xSknxY,early call ebola help ignored,MIXED
94,94,Asia's deadly secret: The scourge of the betel nut http://bbc.in/1HjNAtS,asia deadly secret the scourge betel nut,NEUTRAL
95,95,VIDEO: Hunt 'hopeful' of Men B jab deal http://bbc.in/1Hfvw4e,video hunt hopeful men jab deal,NEUTRAL
96,96,VIDEO: Criticism of Men B vaccine delay http://bbc.in/1AUA20T,video criticism men vaccine delay,NEUTRAL
97,97,Campaigners make Men B vaccine plea http://bbc.in/1CELp1n,campaigners make men vaccine plea,NEUTRAL
98,98,VIDEO: Conned IVF husband wins damages http://bbc.in/1CBMqHx,video conned ivf husband wins damages,NEGATIVE
99,99,VIDEO: What can make you happy? http://bbc.in/1FIUHum,video what make happy,POSITIVE
100,100,Mental health budgets 'cut by 8%' http://bbc.in/1B8UOJb,mental health budgets cut,NEUTRAL
101,101,'Ebola-proof' tablet device developed http://bbc.in/1B8y2B6,ebola proof tablet device developed,NEUTRAL
102,102,VIDEO: Young carer Elle describes challenges http://bbc.in/1AKGes9,video young carer elle describes challenges,NEUTRAL
103,103,VIDEO: Toxic smog prompts health warning http://bbc.in/1B4woke,video toxic smog prompts health warning,NEGATIVE
104,104,'Half of children have tooth decay' http://bbc.in/1B4mNcY,half children tooth decay,NEGATIVE
105,105,Blood test 'could cut antibiotics' http://bbc.in/1FGfqi8,blood test could cut antibiotics,NEUTRAL
106,106,New global fund for tobacco control http://bbc.in/1GXRp4y,new global fund tobacco control,NEUTRAL
107,107,Doctors in 'no confidence' vote http://bbc.in/1AFsChV,doctors confidence vote,NEUTRAL
108,108,Morbidly obese could get free flu jab http://bbc.in/1AD6cxG,morbidly obese could get free flu jab,NEGATIVE
109,109,Breastfeeding 'linked to higher IQ' http://bbc.in/1AWx2Qz,breastfeeding linked higher iq,NEUTRAL
110,110,Privately-run hospital scheme 'poor' http://bbc.in/1AD6cxD,privately run hospital scheme poor,NEGATIVE
111,111,Morbidly obese could get free flu jab http://bbc.in/1AWx2Qu,morbidly obese could get free flu jab,NEGATIVE
112,112,Has the war on drugs been lost? http://bbc.in/1AD6a95,has war drugs lost,MIXED
113,113,Has the war on drugs been lost? http://bbc.in/1DzQoBT,has war drugs lost,MIXED
114,114,'Selfie danger' during solar eclipse http://bbc.in/1BMPxL0,selfie danger solar eclipse,NEUTRAL
115,115,VIDEO: Child mental health services 'broken' http://bbc.in/1Dwt6gm,video child mental health services broken,NEGATIVE
116,116,Dentist probe patients contract virus http://bbc.in/1AT9ZGh,dentist probe patients contract virus,NEUTRAL
117,117,VIDEO: Why did my partner take his own life? http://bbc.in/1Fv0zHh,video why partner take life,NEUTRAL
118,118,NHS trust put into special measures http://bbc.in/1BMevKo,nhs trust put special measures,NEUTRAL
119,119,VIDEO: Burnham on mental health 'scandal' http://bbc.in/1Dw0BiS,video burnham mental health scandal,NEUTRAL
120,120,VIDEO: 'Pharmacists are extremely skilled' http://bbc.in/1Ln6GSY,video pharmacists extremely skilled,POSITIVE
121,121,VIDEO: Child mental health 'needs overhaul' http://bbc.in/1DvuBv8,video child mental health needs overhaul,NEGATIVE
122,122,VIDEO: Pharmacists 'should support GPs' http://bbc.in/1ARTfiP,video pharmacists support gps,NEUTRAL
123,123,'Army of pharmacists' to help GPs http://bbc.in/1LkWXg1,army pharmacists help gps,NEUTRAL
124,124,Child mental health 'faces overhaul' http://bbc.in/1BL5yRr,child mental health faces overhaul,NEGATIVE
125,125,Ebola: Seventh Brit sent home http://bbc.in/1FrJDBL,ebola seventh brit sent home,NEUTRAL
126,126,VIDEO: Mother warns over Meningitis W http://bbc.in/1GKZQ39,video mother warns meningitis,NEUTRAL
127,127,'Flying doctors' fleet unveiled http://bbc.in/1Fr8VzO,flying doctors fleet unveiled,NEUTRAL
128,128,Inactive child 'will be couch potato' http://bbc.in/1DpZ123,inactive child couch potato,NEUTRAL
129,129,Pioneering surgery 'saves bowels' http://bbc.in/1FqoFmC,pioneering surgery saves bowels,NEUTRAL
130,130,Parents face special needs 'lottery' http://bbc.in/18qPDNR,parents face special needs lottery,NEUTRAL
131,131,Lack of sleep 'link to diabetes' http://bbc.in/1Dm3iUf,lack sleep link diabetes,NEUTRAL
132,132,'Improve end-of-life care for all' http://bbc.in/1Fn4gip,improve end life care,POSITIVE
133,133,VIDEO: Mental health spending boost http://bbc.in/1ADfQ2o,video mental health spending boost,NEUTRAL
134,134,Mental health 'to get funding boost' http://bbc.in/18mgESM,mental health get funding boost,NEUTRAL
135,135,Testosterone boost 'could cut deaths' http://bbc.in/1FbZbsP,testosterone boost could cut deaths,NEUTRAL
136,136,VIDEO: The art of microbes http://bbc.in/1BD9KTr,video the art microbes,NEUTRAL
137,137,VIDEO: Hospitals 'struggling' with A&amp;E targets http://bbc.in/1Fj8l7e,video hospitals struggling amp targets,NEUTRAL
138,138,First 'successful' penis transplant http://bbc.in/1GApgjK,first successful penis transplant,POSITIVE
139,139,VIDEO: British Ebola workers under observation http://bbc.in/1FiDveU,video british ebola workers observation,NEUTRAL
140,140,Scarlet fever cases reach new high http://bbc.in/1FiDveS,scarlet fever cases reach new high,NEUTRAL
141,141,Vaccine plan for meningitis rise http://bbc.in/1DeQ63t,vaccine plan meningitis rise,NEUTRAL
142,142,How bad has winter been for the NHS? http://bbc.in/1HRHOgL,how bad winter nhs,NEGATIVE
143,143,A&amp;E target missed whole of winter http://bbc.in/1HRbf2h,amp target missed whole winter,NEGATIVE
144,144,Union calls 'incident' move a stunt http://bbc.in/1L5YZk3,union calls incident move stunt,NEUTRAL
145,145,VIDEO: 'My daughter might not have died' http://bbc.in/1De4bhk,video my daughter might died,NEGATIVE
146,146,Measles fear for Ebola-hit countries http://bbc.in/1FhTZ7d,measles fear ebola hit countries,NEUTRAL
147,147,Best hospitals 'now struggling' http://bbc.in/1HPfI5R,best hospitals struggling,MIXED
148,148,VIDEO: Sir Terry Pratchett's legacy to research http://bbc.in/1HLyBGF,video sir terry pratchett legacy research,NEUTRAL
149,149,RAF flight to help UK Ebola patient http://bbc.in/1D8Gkjg,raf flight help uk ebola patient,NEUTRAL
150,150,MPs criticise England cancer services http://bbc.in/1HFzjoP,mps criticise england cancer services,NEUTRAL
151,151,Why not introduce more NHS charges? http://bbc.in/1HFzm44,why introduce nhs charges,NEUTRAL
152,152,The NHS - a powerhouse for new medicines? http://bbc.in/1KXHq5J,the nhs powerhouse new medicines,NEUTRAL
153,153,UK military health worker has Ebola http://bbc.in/1BxfjTg,uk military health worker ebola,NEUTRAL
154,154,MPs back standardised cigarette packs http://bbc.in/1HCTgwo,mps back standardised cigarette packs,NEUTRAL
155,155,Brain injury birth mum awarded Â£5m http://bbc.in/1HCTgg2,brain injury birth mum awarded,NEUTRAL
156,156,Are anti-smoking measures working? http://bbc.in/1Fb1Enz,are anti smoking measures working,POSITIVE
157,157,VIDEO: Lucas questions NHS spending priorities http://bbc.in/1Fb1BIA,video lucas questions nhs spending priorities,NEUTRAL
158,158,Using legal highs 'got worse and worse' http://bbc.in/1D4YTEO,using legal highs got worse worse,NEGATIVE
159,159,Cigarette plain packaging vote due http://bbc.in/1Hy9aZ1,cigarette plain packaging vote due,NEGATIVE
160,160,VIDEO: Living with early-onset Alzheimer's http://bbc.in/1Gpm5LQ,video living early onset alzheimer,NEUTRAL
161,161,Starting gun 'fired' on new NHS http://bbc.in/1Huc6WD,starting gun fired new nhs,NEUTRAL
162,162,VIDEO: Menopause 'not supported in workplaces' http://bbc.in/1F6yxC3,video menopause supported workplaces,NEUTRAL
163,163,HRT-users 'may risk clots and stroke' http://bbc.in/1CXFzcw,hrt users may risk clots stroke,NEUTRAL
164,164,Hunt for new obesity pills http://bbc.in/1HnG66y,hunt new obesity pills,NEUTRAL
165,165,Are Rwandans healthier than the English? http://bbc.in/1EJEbt9,are rwandans healthier english,POSITIVE
166,166,Warning over young diabetics' health http://bbc.in/1HjY0qC,warning young diabetics health,MIXED
167,167,C-section rates 'vary widely' in EU http://bbc.in/1HjY0al,section rates vary widely eu,NEUTRAL
168,168,Frankie the dog âsniffs out cancerâ http://bbc.in/1COjVHM,frankie dog sniffs cancer,NEUTRAL
169,169,NHS 'whistleblower' demands new job http://bbc.in/1CK3yMm,nhs whistleblower demands new job,NEUTRAL
170,170,'No restrictions' on Ebola nurse http://bbc.in/1CJeVnV,no restrictions ebola nurse,NEUTRAL
171,171,VIDEO: New mental health rights proposed http://bbc.in/1H8kD1m,video new mental health rights proposed,NEUTRAL
172,172,Low-fat diet 'burns more fat' http://bbc.in/1CH7H3L,low fat diet burns fat,NEUTRAL
173,173,Disrupting chemicals âcost billionsâ http://bbc.in/1H3a7Z4,disrupting chemicals cost billions,NEUTRAL
174,174,New mental health rights proposed http://bbc.in/1CECwpM,new mental health rights proposed,NEUTRAL
175,175,VIDEO: Child star with Down's syndrome back on TV http://bbc.in/1G3WJTi,video child star down syndrome back tv,NEUTRAL
176,176,End 'fixation' with A&amp;E wait target http://bbc.in/1ErRmyP,end fixation amp wait target,NEUTRAL
177,177,VIDEO: App guides blind people on the Tube http://bbc.in/1zQA5t0,video app guides blind people tube,NEUTRAL
178,178,Technology helps visually impaired navigate the Tube http://bbc.in/1EqND4v,technology helps visually impaired navigate tube,NEUTRAL
179,179,Prisons face smoking ban prosecution http://bbc.in/1EQF8Ai,prisons face smoking ban prosecution,NEUTRAL
180,180,VIDEO: Meningitis: 'No one should go through this pain' http://bbc.in/1zNNpOY,video meningitis no one go pain,POSITIVE
181,181,Liberia 'Ebola-free' for one week http://bbc.in/1DYqS6Z,liberia ebola free one week,NEUTRAL
182,182,Hospital crisis hit 900 operations http://bbc.in/1CzqSwg,hospital crisis hit operations,NEUTRAL
183,183,Billions 'have untreated tooth decay' http://bbc.in/1GUUQcG,billions untreated tooth decay,NEGATIVE
184,184,Plumbers 'should report cold homes' http://bbc.in/1GUUPWn,plumbers report cold homes,NEUTRAL
185,185,Autism appears 'largely genetic' http://bbc.in/1DVgxbP,autism appears largely genetic,NEUTRAL
186,186,"VIDEO: 'Cancer target missed for 20,000 people' http://bbc.in/1KiQ26q",video cancer target missed people,NEUTRAL
187,187,VIDEO: Fears for future of Ebola orphanage http://bbc.in/1GRVSX0,video fears future ebola orphanage,NEUTRAL
188,188,Is another NHS scandal brewing? http://bbc.in/1CvlV7I,is another nhs scandal brewing,NEGATIVE
189,189,Clegg in drug law election pledge http://bbc.in/1Ctz01m,clegg drug law election pledge,NEUTRAL
190,190,Adults get flu 'every five years' http://bbc.in/1CsNTRw,adults get flu every five years,NEGATIVE
191,191,Care workers 'being short changed' http://bbc.in/1CsNTRs,care workers short changed,NEUTRAL
192,192,VIDEO: The man who changed parenting http://bbc.in/1ELkMsg,video the man changed parenting,NEUTRAL
193,193,Tablet video game combats lazy eye http://bbc.in/1DHlsKO,tablet video game combats lazy eye,MIXED
194,194,VIDEO: How much coffee is good for you? http://bbc.in/1DQf46H,video how much coffee good,POSITIVE
195,195,Unison votes to accept NHS pay deal http://bbc.in/1wRwgUc,unison votes accept nhs pay deal,NEUTRAL
196,196,Formal end to NI child heart surgery http://bbc.in/1EJS6Qp,formal end ni child heart surgery,NEUTRAL
197,197,Hospital investigation cost Â£19.5m http://bbc.in/1EJS4Yz,hospital investigation cost,NEUTRAL
198,198,Cancer drug patient's England move http://bbc.in/1EIZifB,cancer drug patient england move,NEUTRAL
199,199,A&amp;E waiting time targets missed http://bbc.in/1DCSvQg,amp waiting time targets missed,NEUTRAL
200,200,$80m for Sierra Leone to fight Ebola http://bbc.in/1Edn4Ql,sierra leone fight ebola,NEUTRAL
201,201,Baby deaths inquiry report due http://bbc.in/1DMp3tz,baby deaths inquiry report due,NEUTRAL
202,202,Coffee linked to 'cleaner' arteries http://bbc.in/1GJMcxQ,coffee linked cleaner arteries,NEUTRAL
203,203,VIDEO: Hidden victims of the Ebola crisis http://bbc.in/1B2YZcI,video hidden victims ebola crisis,NEUTRAL
204,204,GP shortages put pressure on doctors http://bbc.in/1GFQCWu,gp shortages put pressure doctors,NEUTRAL
205,205,New GP deal allows more caring time http://bbc.in/1EEKzST,new gp deal allows caring time,NEUTRAL
206,206,Drug drivers targeted by new rules http://bbc.in/1wHxVvA,drug drivers targeted new rules,NEUTRAL
207,207,Child health 'an election issue' http://bbc.in/1EEgJOb,child health election issue,NEUTRAL
208,208,Are humans getting cleverer? http://bbc.in/1Cgl0I7,are humans getting cleverer,POSITIVE
209,209,Concern over online gonorrhoea care http://bbc.in/1LYEEdn,concern online gonorrhoea care,NEUTRAL
210,210,"Distinct ME stages found, says study http://bbc.in/1BKmHxX",distinct me stages found says study,NEUTRAL
211,211,Why Sam's 'wobbly brain' is important http://bbc.in/1BKmFGe,why sam wobbly brain important,NEUTRAL
212,212,VIDEO: Improving palliative care in Mexico http://bbc.in/1FHxYMP,video improving palliative care mexico,NEUTRAL
213,213,Cut music to 'an hour a day' - WHO http://bbc.in/1C48DyB,cut music hour day who,NEUTRAL
214,214,'Devo Manc' and the NHS http://bbc.in/1LR9wMP,devo manc nhs,NEUTRAL
215,215,Start date for 'Devo Manc' NHS plan http://bbc.in/1FDMK74,start date devo manc nhs plan,NEUTRAL
216,216,Leukaemia changes 'almost inevitable' http://bbc.in/1wnqwBw,leukaemia changes almost inevitable,NEUTRAL
217,217,Man sentenced for doctor CV changes http://bbc.in/1LMv2Cj,man sentenced doctor cv changes,NEUTRAL
218,218,Savile: Why the risks are real in today's NHS http://bbc.in/1BZteV0,savile why risks real today nhs,NEUTRAL
219,219,Savile 'abused 63 people at hospital' http://bbc.in/1BYjuKy,savile abused people hospital,NEGATIVE
220,220,VIDEO: Dementia 'like having a small child' http://bbc.in/1ByxWJM,video dementia like small child,NEUTRAL
221,221,Call to ban energy drinks for kids http://bbc.in/1BwVLkU,call ban energy drinks kids,NEUTRAL
222,222,Dispute over outdoor smoking ban call http://bbc.in/1BwVL4F,dispute outdoor smoking ban call,NEUTRAL
223,223,Hospital staff 'told of Savile abuse' http://bbc.in/1wfftKp,hospital staff told savile abuse,NEUTRAL
224,224,Analysis: An HIV 'game changer'? http://bbc.in/1BttLi8,analysis an hiv game changer,NEUTRAL
225,225,WHO 'taken aback' by measles outbreaks http://bbc.in/1Bs8tl8,who taken aback measles outbreaks,NEGATIVE
226,226,'Don't cut other areas to fund NHS' http://bbc.in/1wc9PZF,don cut areas fund nhs,NEUTRAL
227,227,VIDEO: Flu scientists defend vaccine choice http://bbc.in/1wc9PZx,video flu scientists defend vaccine choice,NEUTRAL
228,228,VIDEO: Health devolution for Greater Manchester http://bbc.in/1wbpiJe,video health devolution greater manchester,NEUTRAL
229,229,Depression 'link' to violent crime http://bbc.in/1LBe9sz,depression link violent crime,NEGATIVE
230,230,Skin test spots Alzheimer's disease http://bbc.in/1BQ8NJY,skin test spots alzheimer disease,NEUTRAL
231,231,'Give HIV drugs to healthy gay men' http://bbc.in/1LAI8AF,give hiv drugs healthy gay men,NEUTRAL
232,232,Councils 'to control Â£6bn NHS budget' http://bbc.in/1BOOIDV,councils control bn nhs budget,NEUTRAL
233,233,Tobacco 'kills two in three smokers' http://bbc.in/1adMr9K,tobacco kills two three smokers,NEGATIVE
234,234,Patient waiting time targets missed http://bbc.in/1LCbZdT,patient waiting time targets missed,NEUTRAL
235,235,NHS 'must step in' over Avastin row http://bbc.in/1FobXlV,nhs must step avastin row,NEUTRAL
236,236,"'Black alert' trust stops 1,000 ops http://bbc.in/1BMdX9H",black alert trust stops ops,NEUTRAL
237,237,Rise in A&amp;E wait times for patients http://bbc.in/1BMdRz3,rise amp wait times patients,NEUTRAL
238,238,Teenage pregnancies hit record low http://bbc.in/1BjTJob,teenage pregnancies hit record low,NEUTRAL
239,239,Care inspections 'not fit for purpose' http://bbc.in/1BLbr3C,care inspections fit purpose,NEUTRAL
240,240,VIDEO: Finger on the pulse of bionic research http://bbc.in/1Bj2X46,video finger pulse bionic research,NEUTRAL
241,241,Support fears 'delay' NHS discharges http://bbc.in/1BJECnM,support fears delay nhs discharges,MIXED
242,242,Dementia research matchmaker scheme http://bbc.in/1LzVBKR,dementia research matchmaker scheme,NEUTRAL
243,243,Deciding vote on three-person babies http://bbc.in/1a8q7ON,deciding vote three person babies,NEUTRAL
244,244,VIDEO: The smart bandage treating wounds http://bbc.in/1w4ute1,video the smart bandage treating wounds,NEUTRAL
245,245,Early exposure 'cuts peanut allergy' http://bbc.in/1w40qTN,early exposure cuts peanut allergy,NEUTRAL
246,246,Hospital 'black alerts' extended http://bbc.in/1BHqueE,hospital black alerts extended,NEUTRAL
247,247,Fertility clinic at hospital reopens http://bbc.in/1Lyoh7g,fertility clinic hospital reopens,NEUTRAL
248,248,VIDEO: The dangers of tanning addiction http://bbc.in/1LxC3XK,video the dangers tanning addiction,NEUTRAL
249,249,Patient in '16-hour trolley wait' http://bbc.in/1a4BMOw,patient hour trolley wait,NEUTRAL
250,250,WHO calls for action over Mers virus http://bbc.in/1w24bJs,who calls action mers virus,NEUTRAL
251,251,UK Ebola medics under investigation http://bbc.in/1BcJn9N,uk ebola medics investigation,NEUTRAL
252,252,VIDEO: Mental health deaths 'avoidable' http://bbc.in/1Lx9Y2I,video mental health deaths avoidable,NEGATIVE
253,253,Call for global single-use syringes http://bbc.in/1w1kFBu,call global single use syringes,NEUTRAL
254,254,VIDEO: Youth heart screening saving lives http://bbc.in/1a2utqr,video youth heart screening saving lives,NEUTRAL
255,255,VIDEO: Tackling FGM's poor prosecution rate http://bbc.in/1LwlXxu,video tackling fgm poor prosecution rate,NEGATIVE
